Store,Google maps link,Timings,Contact
Buffalo Wild Wings,"https://www.google.com/maps/place/Buffalo+Wild+Wings/@34.5689541,-114.368351,1434m/data=!3m2!1e3!4b1!4m6!3m5!1s0x80d1ef494bd56a0b:0xd5da8cfaa0b607f!8m2!3d34.5689541!4d-114.368351!16s%2Fg%2F11xrzhlc4g?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19287328299
Sunshine Indoor Play,"https://www.google.com/maps/place/Sunshine+Indoor+Play/@34.5694927,-114.3677911,90m/data=!3m1!1e3!4m14!1m7!3m6!1s0x80d1ef494bd56a0b:0xd5da8cfaa0b607f!2sBuffalo+Wild+Wings!8m2!3d34.5689541!4d-114.368351!16s%2Fg%2F11xrzhlc4g!3m5!1s0x80d1ef6ede41e38d:0xd374bc4aed535f69!8m2!3d34.5693247!4d-114.3675356!16s%2Fg%2F11vf6rg3kz?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19284666750
Dillard's,"https://www.google.com/maps/place/Dillard's/@34.5670039,-114.3683041,717m/data=!3m2!1e3!5s0x80d1ef963ca229e3:0xfa1e29da5cce3d73!4m14!1m7!3m6!1s0x80d1efbdaea5b387:0x7570814fee224f3f!2sThe+Shops+At+Lake+Havasu!8m2!3d34.5688327!4d-114.367199!16s%2Fm%2F047dcg5!3m5!1s0x80d1efbd6d6f8793:0xee5b354482366753!8m2!3d34.5669754!4d-114.3672483!16s%2Fg%2F1thd22b5?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19287641200
Convergence Health,"https://www.google.com/maps/place/Convergence+Health/@34.567719,-114.3675129,151m/data=!3m2!1e3!5s0x80d1ef963ca229e3:0xfa1e29da5cce3d73!4m14!1m7!3m6!1s0x80d1efbdaea5b387:0x7570814fee224f3f!2sThe+Shops+At+Lake+Havasu!8m2!3d34.5688327!4d-114.367199!16s%2Fm%2F047dcg5!3m5!1s0x80d1efa036fce7ed:0x8506891fc90988d2!8m2!3d34.5677232!4d-114.3675145!16s%2Fg%2F11m6lj26xf?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19289384325
Northside Grill,"https://www.google.com/maps/place/Northside+Grill/@34.5683691,-114.3675124,63m/data=!3m2!1e3!5s0x80d1ef963ca229e3:0xfa1e29da5cce3d73!4m14!1m7!3m6!1s0x80d1efbdaea5b387:0x7570814fee224f3f!2sThe+Shops+At+Lake+Havasu!8m2!3d34.5688327!4d-114.367199!16s%2Fm%2F047dcg5!3m5!1s0x80d1ef6c810fe517:0x6dae26c7c3bba464!8m2!3d34.5684696!4d-114.3675152!16s%2Fg%2F11stpbrg92?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19288464880
PetSmart,"https://www.google.com/maps/place/PetSmart/@34.5677287,-114.3661077,127m/data=!3m1!1e3!4m6!3m5!1s0x80d1efbdaea5b387:0xe9c7b6317d2696cd!8m2!3d34.5678396!4d-114.3657194!16s%2Fg%2F1td0gswz?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19287642500
Altitude Trampoline Park,"https://www.google.com/maps/place/Altitude+Trampoline+Park/@34.5683393,-114.3659541,127m/data=!3m1!1e3!4m6!3m5!1s0x80d1ef304e584453:0xff8f3f151ada7fa3!8m2!3d34.568537!4d-114.365708!16s%2Fg%2F11t_z6_1rv?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19284368316
Frozen Spoon,"https://www.google.com/maps/place/Frozen+Spoon/@34.5681453,-114.3674963,213m/data=!3m1!1e3!4m6!3m5!1s0x80d1efbf31b322c9:0xa998f7b0f7fdb79e!8m2!3d34.5686568!4d-114.3677304!16s%2Fg%2F11kq84879f?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19288464949
Bealls,"https://www.google.com/maps/place/bealls/@34.5692185,-114.3663156,127m/data=!3m1!1e3!4m6!3m5!1s0x80d1efbd8f818737:0x324e82e6b6ee4f3e!8m2!3d34.569204!4d-114.366294!16s%2Fg%2F11b77qrcnl?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19287643120
Dollar Tree,"https://www.google.com/maps/place/Dollar+Tree/@34.5692295,-114.3662202,75m/data=!3m2!1e3!5s0x80d1ef963ca229e3:0xfa1e29da5cce3d73!4m6!3m5!1s0x80d1c77e14fd962b:0xcd32a6199de04dcc!8m2!3d34.5692432!4d-114.366125!16s%2Fg%2F11vky02k2t?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",,19285750085
